dataset_name,task_type,model_type,input_type,time_str,location,llm_type,llm_time_str,llm_step,is_finished,last_epoch,eval_avg_loss,eval_total_loss,eval_acc,eval_prec,eval_recall,eval_f1,eval_roc_auc,eval_pr_auc,eval_confusion_matrix,eval_mcc2,eval_mcc,eval_sn,eval_sp,update_flag,test_avg_loss,test_total_loss,test_acc,test_prec,test_recall,test_f1,test_roc_auc,test_pr_auc,test_confusion_matrix,test_mcc2,test_mcc,test_sn,test_sp,lr,cur_epoch_step,train_global_avg_loss,train_cur_epoch_loss,train_cur_epoch_avg_loss,train_cur_epoch_time,train_cur_epoch_avg_time,epoch,step
RdRP,binary_class,luca_base,seq_matrix,2.02504E+13,a100_hk_0525,esmc,,,TRUE,10,0.001592,2.217617,0.999731,0.989011,1,0.994475,0.999998,0.999928,"{'tn': 21738, 'fp': 6, 'fn': 0, 'tp': 540}",0.994353,0.994353,1,0.999724,TRUE,0.001329,1.85087,0.999731,0.989011,1,0.994475,0.999999,0.99998,"{'tn': 21738, 'fp': 6, 'fn': 0, 'tp': 540}",0.994353,0.994353,1,0.999724,9.01512E-05,11928,0.186324153,2222.474501,0.186324153,4891.30725,0.410069354,1,11928
RdRP,binary_class,luca_base,seq_matrix,2.02412E+13,a100_hk_0525,lucaone_virus,2.02408E+13,3800000,FALSE,4,0.023424,32.6299,0.999641,0.988971,0.996296,0.99262,0.999926,0.994185,"{'tn': 21738, 'fp': 6, 'fn': 2, 'tp': 538}",0.992443,0.992443,0.996296,0.999724,TRUE,0.033651,46.875549,0.999641,0.990775,0.994444,0.992606,0.999996,0.999858,"{'tn': 21739, 'fp': 5, 'fn': 3, 'tp': 537}",0.992424,0.992424,0.994444,0.99977,6.01008E-05,11928,0.054866383,209.982082,0.017604132,6194.885201,0.519356573,4,47712
RdRP,binary_class,luca_base,matrix,2.02504E+13,a100_hk_0525,esmc,,,TRUE,10,0.002444,3.404538,0.999776,0.990826,1,0.995392,0.999998,0.999914,"{'tn': 21739, 'fp': 5, 'fn': 0, 'tp': 540}",0.995288,0.995288,1,0.99977,TRUE,0.001745,2.430984,0.999776,0.990826,1,0.995392,0.999999,0.999973,"{'tn': 21739, 'fp': 5, 'fn': 0, 'tp': 540}",0.995288,0.995288,1,0.99977,9.01512E-05,11928,0.078421341,935.4097521,0.078421341,544.7042828,0.04566602,1,11928
RdRP,binary_class,luca_base,matrix,2.02503E+13,a100_hk_0525,lucaone_gplm,2.02311E+13,17600000,TRUE,10,0.04232,58.951537,0.999686,0.994434,0.992593,0.993513,0.999994,0.999762,"{'tn': 21741, 'fp': 3, 'fn': 4, 'tp': 536}",0.993352,0.993352,0.992593,0.999862,TRUE,0.033912,47.238892,0.999731,0.998134,0.990741,0.994424,0.999998,0.999915,"{'tn': 21743, 'fp': 1, 'fn': 5, 'tp': 535}",0.994293,0.994293,0.990741,0.999954,8.01344E-05,11928,0.058809862,322.4408891,0.027032268,1862.675031,0.156159879,2,23856
RdRP,binary_class,luca_base,matrix,2.02504E+13,a100_hk_0525,esm,,3B,TRUE,10,0.000981,1.366584,0.99982,0.992647,1,0.99631,0.999999,0.999976,"{'tn': 21740, 'fp': 4, 'fn': 0, 'tp': 540}",0.996225,0.996225,1,0.999816,TRUE,0.000856,1.192489,0.999865,0.994475,1,0.99723,0.999999,0.99998,"{'tn': 21741, 'fp': 3, 'fn': 0, 'tp': 540}",0.997165,0.997165,1,0.999862,9.01512E-05,11928,0.052385242,624.851166,0.052385242,1873.192789,0.157041649,1,11928
RdRP,binary_class,luca_base,matrix,2.02503E+13,a100_hk_0525,lucaone_virus,2.02408E+13,3800000,TRUE,10,0.066045,92.001109,0.99982,0.998141,0.994444,0.996289,0.999996,0.999857,"{'tn': 21743, 'fp': 1, 'fn': 3, 'tp': 537}",0.996199,0.996199,0.994444,0.999954,TRUE,0.054296,75.634388,0.99982,1,0.992593,0.996283,0.999999,0.999969,"{'tn': 21744, 'fp': 0, 'fn': 4, 'tp': 536}",0.996198,0.996198,0.992593,1,3.00504E-05,11928,0.026416888,29.83691242,0.002501418,1864.307018,0.156296698,7,83496
ViralCapsid,binary_class,luca_base,seq,2.02501E+13,cfff_a100_hk,,,,TRUE,10,0.050129,135.849993,0.988027,0.986553,0.989596,0.988072,0.998877,0.998865,"{'tn': 21334, 'fp': 293, 'fn': 226, 'tp': 21496}",0.976059,0.976059,0.989596,0.986452,TRUE,0.049796,202.369206,0.988342,0.985829,0.990924,0.98837,0.998875,0.998815,"{'tn': 32054, 'fp': 463, 'fn': 295, 'tp': 32210}",0.976698,0.976698,0.990924,0.985761,0,20320,0.082586633,968.6090886,0.04766777,2753.649088,0.135514227,10,203200
ViralCapsid,binary_class,luca_base,seq_matrix,2.02501E+13,cfff_a100_hk,lucaone_virus,2.02408E+13,3800000,TRUE,10,0.009136,24.75942,0.998316,0.998664,0.997974,0.998319,0.999918,0.999922,"{'tn': 21598, 'fp': 29, 'fn': 44, 'tp': 21678}",0.996632,0.996632,0.997974,0.998659,TRUE,0.008006,32.538096,0.998431,0.998584,0.998277,0.998431,0.999939,0.999945,"{'tn': 32471, 'fp': 46, 'fn': 56, 'tp': 32449}",0.996863,0.996863,0.998277,0.998585,8.00788E-05,20320,0.012253954,98.59756726,0.004852242,4172.033409,0.205316605,2,40640
ViralCapsid,binary_class,luca_base,matrix,2.02501E+13,cfff_a100_hk,lucaone_virus,2.02408E+13,3800000,TRUE,10,0.015381,41.68272,0.998408,0.998986,0.997836,0.998411,0.999853,0.999757,"{'tn': 21605, 'fp': 22, 'fn': 47, 'tp': 21675}",0.996817,0.996817,0.997836,0.998983,TRUE,0.013435,54.601641,0.998324,0.99886,0.997785,0.998322,0.999945,0.99993,"{'tn': 32480, 'fp': 37, 'fn': 72, 'tp': 32433}",0.996648,0.996648,0.997785,0.998862,6.00591E-05,20320,0.007312902,38.75239828,0.001907106,2000.960289,0.098472455,4,81280
ViralCapsid,binary_class,luca_base,matrix,2.02501E+13,cfff_a100_hk,esm,,3B,TRUE,10,0.017001,46.071856,0.998131,0.997975,0.998297,0.998136,0.999759,0.999543,"{'tn': 21583, 'fp': 44, 'fn': 37, 'tp': 21685}",0.996263,0.996263,0.998297,0.997966,TRUE,0.016787,68.22411,0.998031,0.997817,0.998246,0.998031,0.999808,0.999647,"{'tn': 32446, 'fp': 71, 'fn': 57, 'tp': 32448}",0.996063,0.996063,0.998246,0.997817,5.00493E-05,20320,0.007159619,33.72404387,0.001659648,1838.653873,0.090484935,5,101600
